crime_type,neighbourhood,year,month,count
Theft from Vehicle,West End,2020,5,41
Theft from Vehicle,West End,2014,9,129
Theft from Vehicle,West End,2014,8,96
Theft from Vehicle,West End,2014,10,87
Theft from Vehicle,West End,2014,7,82
Theft from Vehicle,West End,2014,6,72
Theft from Vehicle,West End,2014,5,65
Theft from Vehicle,West End,2014,12,64
Theft from Vehicle,West End,2014,1,59
Theft from Vehicle,West End,2014,11,57
Theft from Vehicle,West End,2014,3,56
Theft from Vehicle,West End,2014,2,49
Theft from Vehicle,West End,2014,4,48
Theft from Vehicle,West End,2016,1,127
Theft from Vehicle,West End,2016,7,126
Theft from Vehicle,West End,2016,3,100
Theft from Vehicle,West End,2016,9,96
Theft from Vehicle,West End,2016,4,94
Theft from Vehicle,West End,2016,6,89
Theft from Vehicle,West End,2016,5,85
Theft from Vehicle,West End,2016,10,76
Theft from Vehicle,West End,2016,8,75
Theft from Vehicle,West End,2016,2,73
Theft from Vehicle,West End,2016,11,73
Theft from Vehicle,West End,2016,12,58
Theft from Vehicle,West End,2009,2,115
Theft from Vehicle,West End,2009,1,106
Theft from Vehicle,West End,2009,12,103
Theft from Vehicle,West End,2009,10,90
Theft from Vehicle,West End,2009,11,85
Theft from Vehicle,West End,2009,5,85
Theft from Vehicle,West End,2009,3,78
Theft from Vehicle,West End,2009,8,76
Theft from Vehicle,West End,2009,9,76
Theft from Vehicle,West End,2009,4,73
Theft from Vehicle,West End,2009,7,68
Theft from Vehicle,West End,2009,6,62
Theft from Vehicle,West End,2017,10,114
Theft from Vehicle,West End,2017,9,113
Theft from Vehicle,West End,2017,8,112
Theft from Vehicle,West End,2017,11,109
Theft from Vehicle,West End,2017,4,103
Theft from Vehicle,West End,2017,5,99
Theft from Vehicle,West End,2017,12,95
Theft from Vehicle,West End,2017,7,95
Theft from Vehicle,West End,2017,3,84
Theft from Vehicle,West End,2017,6,81
Theft from Vehicle,West End,2017,1,78
Theft from Vehicle,West End,2017,2,56
Theft from Vehicle,West End,2011,7,111
Theft from Vehicle,West End,2011,8,70
Theft from Vehicle,West End,2011,9,64
Theft from Vehicle,West End,2011,12,59
Theft from Vehicle,West End,2011,2,53
Theft from Vehicle,West End,2011,5,53
Theft from Vehicle,West End,2011,3,48
Theft from Vehicle,West End,2011,6,48
Theft from Vehicle,West End,2011,11,42
Theft from Vehicle,West End,2011,4,42
Theft from Vehicle,West End,2011,10,33
Theft from Vehicle,West End,2011,1,26
Theft from Vehicle,West End,2010,3,104
Theft from Vehicle,West End,2010,8,85
Theft from Vehicle,West End,2010,9,81
Theft from Vehicle,West End,2010,1,78
Theft from Vehicle,West End,2010,10,72
Theft from Vehicle,West End,2010,2,56
Theft from Vehicle,West End,2010,7,53
Theft from Vehicle,West End,2010,4,53
Theft from Vehicle,West End,2010,5,50
Theft from Vehicle,West End,2010,12,49
Theft from Vehicle,West End,2010,11,46
Theft from Vehicle,West End,2010,6,45
Theft from Vehicle,West End,2015,12,98
Theft from Vehicle,West End,2015,11,97
Theft from Vehicle,West End,2015,1,86
Theft from Vehicle,West End,2015,2,83
Theft from Vehicle,West End,2015,9,74
Theft from Vehicle,West End,2015,10,72
Theft from Vehicle,West End,2015,5,66
Theft from Vehicle,West End,2015,3,64
Theft from Vehicle,West End,2015,4,64
Theft from Vehicle,West End,2015,6,59
Theft from Vehicle,West End,2015,8,58
Theft from Vehicle,West End,2015,7,58
Theft from Vehicle,West End,2013,12,97
Theft from Vehicle,West End,2013,10,94
Theft from Vehicle,West End,2013,6,77
Theft from Vehicle,West End,2013,5,72
Theft from Vehicle,West End,2013,7,70
Theft from Vehicle,West End,2013,9,66
Theft from Vehicle,West End,2013,8,63
Theft from Vehicle,West End,2013,4,59
Theft from Vehicle,West End,2013,11,52
Theft from Vehicle,West End,2013,3,50
Theft from Vehicle,West End,2013,2,40
Theft from Vehicle,West End,2013,1,25
Theft from Vehicle,West End,2021,10,85
Theft from Vehicle,West End,2021,8,75
Theft from Vehicle,West End,2021,9,74
Theft from Vehicle,West End,2021,11,67
Theft from Vehicle,West End,2021,1,63
Theft from Vehicle,West End,2021,4,62
Theft from Vehicle,West End,2021,2,61
Theft from Vehicle,West End,2021,7,56
Theft from Vehicle,West End,2021,6,51
Theft from Vehicle,West End,2021,5,48
Theft from Vehicle,West End,2021,3,48
Theft from Vehicle,West End,2012,4,67
Theft from Vehicle,West End,2012,11,65
Theft from Vehicle,West End,2012,3,61
